,Total households
"Rhinebeck village, New York: Summary level: 160, state:36> place:61346",1146
"Rhinecliff CDP, New York: Summary level: 160, state:36> place:61368",266
"Richburg village, New York: Summary level: 160, state:36> place:61434",252
"Richfield Springs village, New York: Summary level: 160, state:36> place:61489",518
"Richmondville village, New York: Summary level: 160, state:36> place:61588",360
"Richville village, New York: Summary level: 160, state:36> place:61621",131
"Ridge CDP, New York: Summary level: 160, state:36> place:61665",5411
"Rifton CDP, New York: Summary level: 160, state:36> place:61797",288
"Ripley CDP, New York: Summary level: 160, state:36> place:61874",343
"Riverhead CDP, New York: Summary level: 160, state:36> place:61973",4925
"Riverside village, New York: Summary level: 160, state:36> place:62061",217
"Riverside CDP, New York: Summary level: 160, state:36> place:62066",803
"Rochester city, New York: Summary level: 160, state:36> place:63000",86418
"Rock Hill CDP, New York: Summary level: 160, state:36> place:63132",601
"Rockville Centre village, New York: Summary level: 160, state:36> place:63264",9148
"Rocky Point CDP, New York: Summary level: 160, state:36> place:63319",4722
"Rodman CDP, New York: Summary level: 160, state:36> place:63330",49
"Rome city, New York: Summary level: 160, state:36> place:63418",13482
"Romulus CDP, New York: Summary level: 160, state:36> place:63429",205
"Ronkonkoma CDP, New York: Summary level: 160, state:36> place:63473",6399
"Roosevelt CDP, New York: Summary level: 160, state:36> place:63506",4193
"Roscoe CDP, New York: Summary level: 160, state:36> place:63583",298
"Rosendale Hamlet CDP, New York: Summary level: 160, state:36> place:63742",656
"Roslyn village, New York: Summary level: 160, state:36> place:63770",1157
"Roslyn Estates village, New York: Summary level: 160, state:36> place:63792",383
"Roslyn Harbor village, New York: Summary level: 160, state:36> place:63803",389
"Roslyn Heights CDP, New York: Summary level: 160, state:36> place:63814",2121
"Rotterdam CDP, New York: Summary level: 160, state:36> place:63924",7909
"Round Lake village, New York: Summary level: 160, state:36> place:63957",231
"Rouses Point village, New York: Summary level: 160, state:36> place:63979",1050
"Rushford CDP, New York: Summary level: 160, state:36> place:64155",142
"Rushville village, New York: Summary level: 160, state:36> place:64199",240
"Russell Gardens village, New York: Summary level: 160, state:36> place:64232",318
"Rye city, New York: Summary level: 160, state:36> place:64309",5524
"Rye Brook village, New York: Summary level: 160, state:36> place:64325",3444
"Sackets Harbor village, New York: Summary level: 160, state:36> place:64408",699
"Saddle Rock village, New York: Summary level: 160, state:36> place:64430",311
"Saddle Rock Estates CDP, New York: Summary level: 160, state:36> place:64441",133
"Sagaponack village, New York: Summary level: 160, state:36> place:64452",116
"Sag Harbor village, New York: Summary level: 160, state:36> place:64485",863
"St. Bonaventure CDP, New York: Summary level: 160, state:36> place:64551",210
"St. James CDP, New York: Summary level: 160, state:36> place:64584",4457
"St. Johnsville village, New York: Summary level: 160, state:36> place:64639",564
"St. Regis Falls CDP, New York: Summary level: 160, state:36> place:64716",195
"Salamanca city, New York: Summary level: 160, state:36> place:64749",2478
"Salem village, New York: Summary level: 160, state:36> place:64771",355
"Salisbury CDP, New York: Summary level: 160, state:36> place:64842",3902
"Salisbury Mills CDP, New York: Summary level: 160, state:36> place:64859",93
"Saltaire village, New York: Summary level: 160, state:36> place:64881",29
"Salt Point CDP, New York: Summary level: 160, state:36> place:64892",114
"Sanborn CDP, New York: Summary level: 160, state:36> place:64958",522
"Sand Ridge CDP, New York: Summary level: 160, state:36> place:65024",432
"Sands Point village, New York: Summary level: 160, state:36> place:65035",893
"Sandy Creek village, New York: Summary level: 160, state:36> place:65068",288
"Saranac Lake village, New York: Summary level: 160, state:36> place:65233",2831
"Saratoga Springs city, New York: Summary level: 160, state:36> place:65255",11533
"Saugerties village, New York: Summary level: 160, state:36> place:65288",1749
"Saugerties South CDP, New York: Summary level: 160, state:36> place:65310",887
"Savannah CDP, New York: Summary level: 160, state:36> place:65332",193
"Savona village, New York: Summary level: 160, state:36> place:65354",258
"Sayville CDP, New York: Summary level: 160, state:36> place:65409",5735
"Scarsdale village, New York: Summary level: 160, state:36> place:65431",5402
"Schaghticoke village, New York: Summary level: 160, state:36> place:65475",220
"Schenectady city, New York: Summary level: 160, state:36> place:65508",24762
"Schenevus CDP, New York: Summary level: 160, state:36> place:65519",144
"Schoharie village, New York: Summary level: 160, state:36> place:65585",446
"Schroon Lake CDP, New York: Summary level: 160, state:36> place:65640",361
"Schuylerville village, New York: Summary level: 160, state:36> place:65750",673
"Scio CDP, New York: Summary level: 160, state:36> place:65761",213
"Scotchtown CDP, New York: Summary level: 160, state:36> place:65882",3318
"Scotia village, New York: Summary level: 160, state:36> place:65893",2908
"Scottsburg CDP, New York: Summary level: 160, state:36> place:65926",52
"Scotts Corners CDP, New York: Summary level: 160, state:36> place:65948",230
"Scottsville village, New York: Summary level: 160, state:36> place:65959",920
"Sea Cliff village, New York: Summary level: 160, state:36> place:66047",1966
"Seaford CDP, New York: Summary level: 160, state:36> place:66058",5210
"Searingtown CDP, New York: Summary level: 160, state:36> place:66102",1436
"Selden CDP, New York: Summary level: 160, state:36> place:66212",6426
"Seneca Falls CDP, New York: Summary level: 160, state:36> place:66322",2894
"Seneca Knolls CDP, New York: Summary level: 160, state:36> place:66366",862
"Setauket-East Setauket CDP, New York: Summary level: 160, state:36> place:66481",5184
"Sharon Springs village, New York: Summary level: 160, state:36> place:66663",209
"Shelter Island CDP, New York: Summary level: 160, state:36> place:66828",466
"Shelter Island Heights CDP, New York: Summary level: 160, state:36> place:66850",526
"Shenorock CDP, New York: Summary level: 160, state:36> place:66872",661
"Sherburne village, New York: Summary level: 160, state:36> place:66883",583
"Sherman village, New York: Summary level: 160, state:36> place:66949",258
"Sherrill city, New York: Summary level: 160, state:36> place:66993",1336
"Shinnecock Hills CDP, New York: Summary level: 160, state:36> place:67048",741
"Shirley CDP, New York: Summary level: 160, state:36> place:67070",7672
"Shokan CDP, New York: Summary level: 160, state:36> place:67081",495
"Shoreham village, New York: Summary level: 160, state:36> place:67191",187
"Shortsville village, New York: Summary level: 160, state:36> place:67257",557
"Shrub Oak CDP, New York: Summary level: 160, state:36> place:67279",874
"Sidney village, New York: Summary level: 160, state:36> place:67334",1811
"Silver Creek village, New York: Summary level: 160, state:36> place:67411",1082
"Silver Springs village, New York: Summary level: 160, state:36> place:67466",317
"Sinclairville village, New York: Summary level: 160, state:36> place:67488",213
"Skaneateles village, New York: Summary level: 160, state:36> place:67510",1175
"Sleepy Hollow village, New York: Summary level: 160, state:36> place:67638",3460
"Sloan village, New York: Summary level: 160, state:36> place:67686",1612
"Sloatsburg village, New York: Summary level: 160, state:36> place:67708",1041
"Smallwood CDP, New York: Summary level: 160, state:36> place:67730",166
"Smithtown CDP, New York: Summary level: 160, state:36> place:67851",8518
"Smithville Flats CDP, New York: Summary level: 160, state:36> place:68088",187
"Smyrna village, New York: Summary level: 160, state:36> place:68099",64
"Sodus village, New York: Summary level: 160, state:36> place:68209",889
"Sodus Point village, New York: Summary level: 160, state:36> place:68242",422
"Solvay village, New York: Summary level: 160, state:36> place:68286",2881
"Sound Beach CDP, New York: Summary level: 160, state:36> place:68374",2564
"Southampton village, New York: Summary level: 160, state:36> place:68462",1292
"South Blooming Grove village, New York: Summary level: 160, state:36> place:68610",1145
"South Corning village, New York: Summary level: 160, state:36> place:68847",461
"South Dayton village, New York: Summary level: 160, state:36> place:68891",305
"South Fallsburg CDP, New York: Summary level: 160, state:36> place:68968",802
"South Farmingdale CDP, New York: Summary level: 160, state:36> place:69001",4808
"South Floral Park village, New York: Summary level: 160, state:36> place:69023",603
"South Glens Falls village, New York: Summary level: 160, state:36> place:69078",1664
"South Hempstead CDP, New York: Summary level: 160, state:36> place:69188",1001
"South Hill CDP, New York: Summary level: 160, state:36> place:69199",998
"South Huntington CDP, New York: Summary level: 160, state:36> place:69254",3329
"South Lima CDP, New York: Summary level: 160, state:36> place:69364",88
"South Lockport CDP, New York: Summary level: 160, state:36> place:69386",3673
"South Nyack village, New York: Summary level: 160, state:36> place:69441",1231
"Southold CDP, New York: Summary level: 160, state:36> place:69452",2559
"Southport CDP, New York: Summary level: 160, state:36> place:69606",3152
"South Valley Stream CDP, New York: Summary level: 160, state:36> place:69892",1952
"Spackenkill CDP, New York: Summary level: 160, state:36> place:70035",1356
"Sparkill CDP, New York: Summary level: 160, state:36> place:70068",475
"Speculator village, New York: Summary level: 160, state:36> place:70123",101
"Spencer village, New York: Summary level: 160, state:36> place:70167",383
"Spencerport village, New York: Summary level: 160, state:36> place:70189",1442
"Springs CDP, New York: Summary level: 160, state:36> place:70387",2373
"Spring Valley village, New York: Summary level: 160, state:36> place:70420",8545
"Springville village, New York: Summary level: 160, state:36> place:70442",1792
"Springwater Hamlet CDP, New York: Summary level: 160, state:36> place:70477",181
"Staatsburg CDP, New York: Summary level: 160, state:36> place:70552",136
"Stamford village, New York: Summary level: 160, state:36> place:70618",580
"Stannards CDP, New York: Summary level: 160, state:36> place:70717",465
"Star Lake CDP, New York: Summary level: 160, state:36> place:70849",318
"Stewart Manor village, New York: Summary level: 160, state:36> place:71267",808
"Stillwater village, New York: Summary level: 160, state:36> place:71322",668
"Stone Ridge CDP, New York: Summary level: 160, state:36> place:71597",452
"Stony Brook CDP, New York: Summary level: 160, state:36> place:71608",4803
"Stony Brook University CDP, New York: Summary level: 160, state:36> place:71620",39
"Stony Point CDP, New York: Summary level: 160, state:36> place:71663",4112
"Stottville CDP, New York: Summary level: 160, state:36> place:71718",613
"Strykersville CDP, New York: Summary level: 160, state:36> place:71817",222
"Suffern village, New York: Summary level: 160, state:36> place:71894",4507
"Sunset Bay CDP, New York: Summary level: 160, state:36> place:72246",258
"SUNY Oswego CDP, New York: Summary level: 160, state:36> place:72327",11
"Sylvan Beach village, New York: Summary level: 160, state:36> place:72521",442
"Syosset CDP, New York: Summary level: 160, state:36> place:72554",6171
"Syracuse city, New York: Summary level: 160, state:36> place:73000",55429
"Tannersville village, New York: Summary level: 160, state:36> place:73143",228
"Tappan CDP, New York: Summary level: 160, state:36> place:73154",2295
"Tarrytown village, New York: Summary level: 160, state:36> place:73176",4476
"Terryville CDP, New York: Summary level: 160, state:36> place:73352",3723
"Thendara CDP, New York: Summary level: 160, state:36> place:73459",68
"Theresa village, New York: Summary level: 160, state:36> place:73517",374
"Thiells CDP, New York: Summary level: 160, state:36> place:73583",1593
"Thomaston village, New York: Summary level: 160, state:36> place:73605",1014
"Thornwood CDP, New York: Summary level: 160, state:36> place:73715",1269
"Thousand Island Park CDP, New York: Summary level: 160, state:36> place:73726",30
"Three Mile Bay CDP, New York: Summary level: 160, state:36> place:73737",67
"Ticonderoga CDP, New York: Summary level: 160, state:36> place:73880",1595
"Tillson CDP, New York: Summary level: 160, state:36> place:73902",593
"Titusville CDP, New York: Summary level: 160, state:36> place:74017",226
"Tivoli village, New York: Summary level: 160, state:36> place:74023",412
"Tonawanda city, New York: Summary level: 160, state:36> place:74166",6713
"Tonawanda CDP, New York: Summary level: 160, state:36> place:74183",25439
"Town Line CDP, New York: Summary level: 160, state:36> place:75121",1086
"Tribes Hill CDP, New York: Summary level: 160, state:36> place:75341",464
"Troy city, New York: Summary level: 160, state:36> place:75484",20171
"Trumansburg village, New York: Summary level: 160, state:36> place:75506",761
"Tuckahoe CDP, New York: Summary level: 160, state:36> place:75572",479
"Tuckahoe village, New York: Summary level: 160, state:36> place:75583",2660
"Tully village, New York: Summary level: 160, state:36> place:75627",374
"Tupper Lake village, New York: Summary level: 160, state:36> place:75671",1527
"Turin village, New York: Summary level: 160, state:36> place:75682",75
"Tuscarora CDP, New York: Summary level: 160, state:36> place:75726",9
"Tuxedo Park village, New York: Summary level: 160, state:36> place:75803",226
"Unadilla village, New York: Summary level: 160, state:36> place:76001",440
"Uniondale CDP, New York: Summary level: 160, state:36> place:76089",5986
"Union Springs village, New York: Summary level: 160, state:36> place:76155",434
"Unionville village, New York: Summary level: 160, state:36> place:76210",197
"University at Buffalo CDP, New York: Summary level: 160, state:36> place:76280",150
"University Gardens CDP, New York: Summary level: 160, state:36> place:76287",1518
"Upper Brookville village, New York: Summary level: 160, state:36> place:76331",485
"Upper Nyack village, New York: Summary level: 160, state:36> place:76386",723
"Utica city, New York: Summary level: 160, state:36> place:76540",24041
"Vails Gate CDP, New York: Summary level: 160, state:36> place:76584",1505
"Valatie village, New York: Summary level: 160, state:36> place:76617",542
"Valhalla CDP, New York: Summary level: 160, state:36> place:76639",1157
"Valley Cottage CDP, New York: Summary level: 160, state:36> place:76661",3473
"Valley Falls village, New York: Summary level: 160, state:36> place:76672",202
"Valley Stream village, New York: Summary level: 160, state:36> place:76705",11373
"Van Etten village, New York: Summary level: 160, state:36> place:76881",221
"Vernon village, New York: Summary level: 160, state:36> place:77112",460
"Verona CDP, New York: Summary level: 160, state:36> place:77167",270
"Verplanck CDP, New York: Summary level: 160, state:36> place:77211",566
"Victor village, New York: Summary level: 160, state:36> place:77376",1016
"Victory village, New York: Summary level: 160, state:36> place:77431",205
"Village Green CDP, New York: Summary level: 160, state:36> place:77513",1939
"Village of the Branch village, New York: Summary level: 160, state:36> place:77519",561
"Viola CDP, New York: Summary level: 160, state:36> place:77574",1743
"Voorheesville village, New York: Summary level: 160, state:36> place:77684",1078
"Waddington village, New York: Summary level: 160, state:36> place:77728",365
"Wading River CDP, New York: Summary level: 160, state:36> place:77772",2777
"Wadsworth CDP, New York: Summary level: 160, state:36> place:77783",72
"Wainscott CDP, New York: Summary level: 160, state:36> place:77805",287
"Walden village, New York: Summary level: 160, state:36> place:77849",2580
"Walker Valley CDP, New York: Summary level: 160, state:36> place:77948",320
"Wallkill CDP, New York: Summary level: 160, state:36> place:78003",846
"Walton village, New York: Summary level: 160, state:36> place:78036",1414
"Walton Park CDP, New York: Summary level: 160, state:36> place:78063",763
"Wampsville village, New York: Summary level: 160, state:36> place:78113",213
"Wanakah CDP, New York: Summary level: 160, state:36> place:78124",1344
"Wantagh CDP, New York: Summary level: 160, state:36> place:78146",5973
"Wappingers Falls village, New York: Summary level: 160, state:36> place:78168",2180
"Warrensburg CDP, New York: Summary level: 160, state:36> place:78289",1300
"Warsaw village, New York: Summary level: 160, state:36> place:78333",1555
"Warwick village, New York: Summary level: 160, state:36> place:78355",2942
"Washington Heights CDP, New York: Summary level: 160, state:36> place:78421",637
"Washington Mills CDP, New York: Summary level: 160, state:36> place:78454",407
"Washingtonville village, New York: Summary level: 160, state:36> place:78465",2105
"Watchtower CDP, New York: Summary level: 160, state:36> place:78487",34
"Waterford village, New York: Summary level: 160, state:36> place:78520",983
"Waterloo village, New York: Summary level: 160, state:36> place:78553",2044
"Water Mill CDP, New York: Summary level: 160, state:36> place:78575",812
"Watertown city, New York: Summary level: 160, state:36> place:78608",11687
"Waterville village, New York: Summary level: 160, state:36> place:78663",601
"Watervliet city, New York: Summary level: 160, state:36> place:78674",4860
"Watkins Glen village, New York: Summary level: 160, state:36> place:78696",885
"Waverly village, New York: Summary level: 160, state:36> place:78806",1854
"Wayland village, New York: Summary level: 160, state:36> place:78850",694
"Webster village, New York: Summary level: 160, state:36> place:78960",2461
"Websters Crossing CDP, New York: Summary level: 160, state:36> place:78982",14
"Weedsport village, New York: Summary level: 160, state:36> place:79015",749
"Wellsburg village, New York: Summary level: 160, state:36> place:79081",233
"Wellsville village, New York: Summary level: 160, state:36> place:79092",2052
"Wesley Hills village, New York: Summary level: 160, state:36> place:79174",1569
"West Babylon CDP, New York: Summary level: 160, state:36> place:79246",14218
"West Bay Shore CDP, New York: Summary level: 160, state:36> place:79301",1656
"Westbury village, New York: Summary level: 160, state:36> place:79444",4927
"West Carthage village, New York: Summary level: 160, state:36> place:79499",801
"West Chazy CDP, New York: Summary level: 160, state:36> place:79543",249
"West Elmira CDP, New York: Summary level: 160, state:36> place:79785",2133
"West End CDP, New York: Summary level: 160, state:36> place:79796",791
"Westfield village, New York: Summary level: 160, state:36> place:79939",1462
"West Glens Falls CDP, New York: Summary level: 160, state:36> place:80082",2857
"Westhampton CDP, New York: Summary level: 160, state:36> place:80170",1127
"Westhampton Beach village, New York: Summary level: 160, state:36> place:80181",952
"West Hampton Dunes village, New York: Summary level: 160, state:36> place:80186",20
"West Haverstraw village, New York: Summary level: 160, state:36> place:80203",2989
"West Hempstead CDP, New York: Summary level: 160, state:36> place:80225",5912
"West Hills CDP, New York: Summary level: 160, state:36> place:80258",1991
"West Hurley CDP, New York: Summary level: 160, state:36> place:80291",919
"West Islip CDP, New York: Summary level: 160, state:36> place:80302",8883
"Westmere CDP, New York: Summary level: 160, state:36> place:80423",3065
"Westmoreland CDP, New York: Summary level: 160, state:36> place:80522",111
"West Nyack CDP, New York: Summary level: 160, state:36> place:80599",1129
"Weston Mills CDP, New York: Summary level: 160, state:36> place:80632",607
"West Point CDP, New York: Summary level: 160, state:36> place:80747",685
"Westport CDP, New York: Summary level: 160, state:36> place:80764",209
"West Sand Lake CDP, New York: Summary level: 160, state:36> place:80863",997
"West Sayville CDP, New York: Summary level: 160, state:36> place:80885",1637
"West Seneca CDP, New York: Summary level: 160, state:36> place:80907",18726
"Westvale CDP, New York: Summary level: 160, state:36> place:81127",2036
"West Valley CDP, New York: Summary level: 160, state:36> place:81138",200
"West Winfield village, New York: Summary level: 160, state:36> place:81292",317
"Wheatley Heights CDP, New York: Summary level: 160, state:36> place:81419",1461
"Whitehall village, New York: Summary level: 160, state:36> place:81622",1227
"White Plains city, New York: Summary level: 160, state:36> place:81677",22085
"Whitesboro village, New York: Summary level: 160, state:36> place:81710",1703
"Whitney Point village, New York: Summary level: 160, state:36> place:81831",347
"Williamson CDP, New York: Summary level: 160, state:36> place:82029",967
"Williamsville village, New York: Summary level: 160, state:36> place:82084",2570
"Williston Park village, New York: Summary level: 160, state:36> place:82117",2580
"Willsboro CDP, New York: Summary level: 160, state:36> place:82260",314
"Wilmington CDP, New York: Summary level: 160, state:36> place:82304",392
"Wilson village, New York: Summary level: 160, state:36> place:82359",517
"Windham CDP, New York: Summary level: 160, state:36> place:82469",206
"Windsor village, New York: Summary level: 160, state:36> place:82524",358
"Winthrop CDP, New York: Summary level: 160, state:36> place:82612",158
"Witherbee CDP, New York: Summary level: 160, state:36> place:82656",162
"Wolcott village, New York: Summary level: 160, state:36> place:82678",634
"Woodbury CDP, New York: Summary level: 160, state:36> place:82744",3072
"Woodbury village, New York: Summary level: 160, state:36> place:82750",3453
"Woodmere CDP, New York: Summary level: 160, state:36> place:82942",5077
"Woodridge village, New York: Summary level: 160, state:36> place:82953",369
"Woodsburgh village, New York: Summary level: 160, state:36> place:82986",259
"Woodstock CDP, New York: Summary level: 160, state:36> place:83041",1192
"Woodsville CDP, New York: Summary level: 160, state:36> place:83063",21
"Worcester CDP, New York: Summary level: 160, state:36> place:83118",552
"Wurtsboro village, New York: Summary level: 160, state:36> place:83272",467
"Wyandanch CDP, New York: Summary level: 160, state:36> place:83294",2992
"Wynantskill CDP, New York: Summary level: 160, state:36> place:83349",1227
"Wyoming village, New York: Summary level: 160, state:36> place:83371",147
"Yaphank CDP, New York: Summary level: 160, state:36> place:83426",1688
"Yonkers city, New York: Summary level: 160, state:36> place:84000",72855
"York Hamlet CDP, New York: Summary level: 160, state:36> place:84035",280
"Yorkshire CDP, New York: Summary level: 160, state:36> place:84044",552
"Yorktown Heights CDP, New York: Summary level: 160, state:36> place:84088",677
"Yorkville village, New York: Summary level: 160, state:36> place:84099",1111
"Youngstown village, New York: Summary level: 160, state:36> place:84143",824
"Zena CDP, New York: Summary level: 160, state:36> place:84187",399
