,Total
"Mariaville Lake CDP, New York: Summary level: 160, state:36> place:45573",370
"Altona CDP, New York: Summary level: 160, state:36> place:01572",759
"Parc CDP, New York: Summary level: 160, state:36> place:56291",240
"Brewster village, New York: Summary level: 160, state:36> place:08070",2087
"Afton village, New York: Summary level: 160, state:36> place:00342",986
"Smyrna village, New York: Summary level: 160, state:36> place:68099",230
"Oneida city, New York: Summary level: 160, state:36> place:54837",10980
"Sea Cliff village, New York: Summary level: 160, state:36> place:66047",5051
"Valley Stream village, New York: Summary level: 160, state:36> place:76705",37609
"Cazenovia village, New York: Summary level: 160, state:36> place:13145",2853
"Earlville village, New York: Summary level: 160, state:36> place:21523",1153
"Cortland city, New York: Summary level: 160, state:36> place:18388",18828
"Albertson CDP, New York: Summary level: 160, state:36> place:01011",5254
"Bath village, New York: Summary level: 160, state:36> place:04759",5572
"South Corning village, New York: Summary level: 160, state:36> place:68847",1157
"Wayland village, New York: Summary level: 160, state:36> place:78850",1810
"Tully village, New York: Summary level: 160, state:36> place:75627",1057
"Marcellus village, New York: Summary level: 160, state:36> place:45480",1893
"Syracuse city, New York: Summary level: 160, state:36> place:73000",143293
"Warsaw village, New York: Summary level: 160, state:36> place:78333",3300
"Cohocton village, New York: Summary level: 160, state:36> place:16727",899
"Hammondsport village, New York: Summary level: 160, state:36> place:31852",492
"Northeast Ithaca CDP, New York: Summary level: 160, state:36> place:51915",2881
"Schenectady city, New York: Summary level: 160, state:36> place:65508",65482
"Fulton city, New York: Summary level: 160, state:36> place:27815",11419
"Hannibal village, New York: Summary level: 160, state:36> place:32017",511
"Jeffersonville village, New York: Summary level: 160, state:36> place:38506",363
"Livingston Manor CDP, New York: Summary level: 160, state:36> place:42928",1223
"Dresden village, New York: Summary level: 160, state:36> place:20896",331
"Whitehall village, New York: Summary level: 160, state:36> place:81622",2274
"Nesconset CDP, New York: Summary level: 160, state:36> place:49825",13893
"New Suffolk CDP, New York: Summary level: 160, state:36> place:50727",212
"North Amityville CDP, New York: Summary level: 160, state:36> place:51396",18817
"Roslyn village, New York: Summary level: 160, state:36> place:63770",2852
"Dansville village, New York: Summary level: 160, state:36> place:19664",4572
"Nunda village, New York: Summary level: 160, state:36> place:54078",1231
"Leeds CDP, New York: Summary level: 160, state:36> place:41784",433
"Fairview CDP (Westchester County), New York: Summary level: 160, state:36> place:25120",3194
"Coxsackie village, New York: Summary level: 160, state:36> place:18718",2685
"Hunter village, New York: Summary level: 160, state:36> place:36167",478
"Glasco CDP, New York: Summary level: 160, state:36> place:29014",2615
"Kingston city, New York: Summary level: 160, state:36> place:39727",23210
"Plattekill CDP, New York: Summary level: 160, state:36> place:58541",969
"Natural Bridge CDP, New York: Summary level: 160, state:36> place:49605",306
"Laurens village, New York: Summary level: 160, state:36> place:41520",180
"Ellenville village, New York: Summary level: 160, state:36> place:23965",4043
"Gardiner CDP, New York: Summary level: 160, state:36> place:28244",698
"Hurley CDP, New York: Summary level: 160, state:36> place:37132",3152
"Shokan CDP, New York: Summary level: 160, state:36> place:67081",1200
"Zena CDP, New York: Summary level: 160, state:36> place:84187",1119
"Averill Park CDP, New York: Summary level: 160, state:36> place:03320",1330
"Rensselaer city, New York: Summary level: 160, state:36> place:61148",9290
"Oxford village, New York: Summary level: 160, state:36> place:55948",1430
"Bayville village, New York: Summary level: 160, state:36> place:05034",6708
"Bethpage CDP, New York: Summary level: 160, state:36> place:06387",17215
"Carle Place CDP, New York: Summary level: 160, state:36> place:12419",4867
"Rifton CDP, New York: Summary level: 160, state:36> place:61797",231
"Saugerties village, New York: Summary level: 160, state:36> place:65288",3872
"Walker Valley CDP, New York: Summary level: 160, state:36> place:77948",1215
"Geneva city, New York: Summary level: 160, state:36> place:28640",12888
"Bolivar village, New York: Summary level: 160, state:36> place:07190",965
"Cuba village, New York: Summary level: 160, state:36> place:19356",1534
"Wellsville village, New York: Summary level: 160, state:36> place:79092",4466
"Green Island village, New York: Summary level: 160, state:36> place:30521",2591
"Sloan village, New York: Summary level: 160, state:36> place:67686",3584
"Aurora village, New York: Summary level: 160, state:36> place:03188",655
"Cayuga village, New York: Summary level: 160, state:36> place:13068",489
"Weedsport village, New York: Summary level: 160, state:36> place:79015",1846
"Mooers CDP, New York: Summary level: 160, state:36> place:48241",420
"Lakeland CDP, New York: Summary level: 160, state:36> place:40607",2517
"Skaneateles village, New York: Summary level: 160, state:36> place:67510",2411
"Warrensburg CDP, New York: Summary level: 160, state:36> place:78289",3193
"Little Falls city, New York: Summary level: 160, state:36> place:42741",4735
"Newport village, New York: Summary level: 160, state:36> place:50573",531
"Copake Lake CDP, New York: Summary level: 160, state:36> place:18124",580
"Granville village, New York: Summary level: 160, state:36> place:30026",2450
"Victory village, New York: Summary level: 160, state:36> place:77431",604
"Bay Shore CDP, New York: Summary level: 160, state:36> place:04935",30685
"Calverton CDP, New York: Summary level: 160, state:36> place:11781",7154
"Commack CDP, New York: Summary level: 160, state:36> place:17530",36936
"Dering Harbor village, New York: Summary level: 160, state:36> place:20379",0
"East Hampton village, New York: Summary level: 160, state:36> place:22183",1034
"Islandia village, New York: Summary level: 160, state:36> place:37840",3345
"Lake Grove village, New York: Summary level: 160, state:36> place:40530",11130
"Laurel CDP, New York: Summary level: 160, state:36> place:41465",1080
"Middle Island CDP, New York: Summary level: 160, state:36> place:46976",10216
"North Babylon CDP, New York: Summary level: 160, state:36> place:51440",16739
"North Bellport CDP, New York: Summary level: 160, state:36> place:51528",11593
"Ocean Beach village, New York: Summary level: 160, state:36> place:54430",24
"Endicott village, New York: Summary level: 160, state:36> place:24515",12872
"Endwell CDP, New York: Summary level: 160, state:36> place:24526",11641
"Amenia CDP, New York: Summary level: 160, state:36> place:01682",1107
"Brinckerhoff CDP, New York: Summary level: 160, state:36> place:08334",2430
"Dover Plains CDP, New York: Summary level: 160, state:36> place:20841",1016
"Fairview CDP (Dutchess County), New York: Summary level: 160, state:36> place:25109",5332
"Millerton village, New York: Summary level: 160, state:36> place:47361",871
"Staatsburg CDP, New York: Summary level: 160, state:36> place:70552",403
"Avon village, New York: Summary level: 160, state:36> place:03353",3261
"Mattituck CDP, New York: Summary level: 160, state:36> place:46140",4704
"Melville CDP, New York: Summary level: 160, state:36> place:46514",17872
"Liverpool village, New York: Summary level: 160, state:36> place:42884",2174
"Mattydale CDP, New York: Summary level: 160, state:36> place:46151",6102
"Glen Head CDP, New York: Summary level: 160, state:36> place:29245",4983
"Great Neck Plaza village, New York: Summary level: 160, state:36> place:30213",6957
"Laurel Hollow village, New York: Summary level: 160, state:36> place:41487",1993
"Long Beach city, New York: Summary level: 160, state:36> place:43335",33509
"Muttontown village, New York: Summary level: 160, state:36> place:49330",3655
"North Lynbrook CDP, New York: Summary level: 160, state:36> place:53231",417
"North Wantagh CDP, New York: Summary level: 160, state:36> place:53792",11802
"Old Bethpage CDP, New York: Summary level: 160, state:36> place:54551",5522
"Greenlawn CDP, New York: Summary level: 160, state:36> place:30543",13978
"Brentwood CDP, New York: Summary level: 160, state:36> place:08026",62942
"Cutchogue CDP, New York: Summary level: 160, state:36> place:19466",3178
"Eastport CDP, New York: Summary level: 160, state:36> place:22810",2091
"Napeague CDP, New York: Summary level: 160, state:36> place:49424",112
"North Patchogue CDP, New York: Summary level: 160, state:36> place:53319",7561
"Northport village, New York: Summary level: 160, state:36> place:53396",7348
"West Islip CDP, New York: Summary level: 160, state:36> place:80302",27149
"Wyandanch CDP, New York: Summary level: 160, state:36> place:83294",11612
"Armonk CDP, New York: Summary level: 160, state:36> place:02649",4381
"Crompond CDP, New York: Summary level: 160, state:36> place:19092",2307
"Dobbs Ferry village, New York: Summary level: 160, state:36> place:20698",11027
"Asharoken village, New York: Summary level: 160, state:36> place:02737",443
"Baiting Hollow CDP, New York: Summary level: 160, state:36> place:04055",1654
"Marathon village, New York: Summary level: 160, state:36> place:45392",843
"Baldwin Harbor CDP, New York: Summary level: 160, state:36> place:04154",7690
"Altamont village, New York: Summary level: 160, state:36> place:01517",1755
"Blasdell village, New York: Summary level: 160, state:36> place:06849",2629
"Buffalo city, New York: Summary level: 160, state:36> place:11000",257518
"Kenmore village, New York: Summary level: 160, state:36> place:39232",15191
"Valhalla CDP, New York: Summary level: 160, state:36> place:76639",3551
"Lincolndale CDP, New York: Summary level: 160, state:36> place:42455",1475
"New Rochelle city, New York: Summary level: 160, state:36> place:50617",79205
"Peach Lake CDP, New York: Summary level: 160, state:36> place:56869",1804
"Perry village, New York: Summary level: 160, state:36> place:57243",3594
"Dryden village, New York: Summary level: 160, state:36> place:20951",2092
"Fonda village, New York: Summary level: 160, state:36> place:26462",838
"St. Johnsville village, New York: Summary level: 160, state:36> place:64639",1907
"Constantia CDP, New York: Summary level: 160, state:36> place:17893",1177
"Angola on the Lake CDP, New York: Summary level: 160, state:36> place:02220",1819
"Baxter Estates village, New York: Summary level: 160, state:36> place:04803",1065
"Stannards CDP, New York: Summary level: 160, state:36> place:70717",586
"Williamsville village, New York: Summary level: 160, state:36> place:82084",5247
"Bridgewater CDP, New York: Summary level: 160, state:36> place:08169",529
"Clifton Springs village, New York: Summary level: 160, state:36> place:16375",2359
"Huntington CDP, New York: Summary level: 160, state:36> place:36233",17341
"Huntington Station CDP, New York: Summary level: 160, state:36> place:37044",33259
"Lloyd Harbor village, New York: Summary level: 160, state:36> place:43005",3676
"Northville CDP, New York: Summary level: 160, state:36> place:53775",1455
"Northwest Harbor CDP, New York: Summary level: 160, state:36> place:53852",3503
"Old Field village, New York: Summary level: 160, state:36> place:54617",812
"Setauket-East Setauket CDP, New York: Summary level: 160, state:36> place:66481",13442
"Wainscott CDP, New York: Summary level: 160, state:36> place:77805",321
"Cattaraugus village, New York: Summary level: 160, state:36> place:13024",959
"South Dayton village, New York: Summary level: 160, state:36> place:68891",673
"West Carthage village, New York: Summary level: 160, state:36> place:79499",1511
"Speculator village, New York: Summary level: 160, state:36> place:70123",348
"Fleischmanns village, New York: Summary level: 160, state:36> place:26209",214
"Ballston Spa village, New York: Summary level: 160, state:36> place:04253",5443
"Milton CDP (Saratoga County), New York: Summary level: 160, state:36> place:47548",3111
"Hewlett Neck village, New York: Summary level: 160, state:36> place:34319",456
"Jericho CDP, New York: Summary level: 160, state:36> place:38539",13827
"Lawrence village, New York: Summary level: 160, state:36> place:41553",6535
"Manorhaven village, New York: Summary level: 160, state:36> place:45106",6620
"Merrick CDP, New York: Summary level: 160, state:36> place:46668",19966
"Mineola village, New York: Summary level: 160, state:36> place:47636",19132
"New Cassel CDP, New York: Summary level: 160, state:36> place:50067",14648
"North Hills village, New York: Summary level: 160, state:36> place:53022",5639
"Jamestown West CDP, New York: Summary level: 160, state:36> place:38275",2512
"Sinclairville village, New York: Summary level: 160, state:36> place:67488",797
"Castorland village, New York: Summary level: 160, state:36> place:12881",365
"Livonia village, New York: Summary level: 160, state:36> place:42950",1361
"Norwood village, New York: Summary level: 160, state:36> place:54012",1624
"Binghamton city, New York: Summary level: 160, state:36> place:06607",45503
"Whitney Point village, New York: Summary level: 160, state:36> place:81831",908
"Bergen village, New York: Summary level: 160, state:36> place:06046",1118
"West Hampton Dunes village, New York: Summary level: 160, state:36> place:80186",69
"Apalachin CDP, New York: Summary level: 160, state:36> place:02308",1146
"Newark Valley village, New York: Summary level: 160, state:36> place:49902",1095
"Cairo CDP, New York: Summary level: 160, state:36> place:11638",1015
"Palenville CDP, New York: Summary level: 160, state:36> place:56132",897
"Poland village, New York: Summary level: 160, state:36> place:58937",385
"Crown Heights CDP, New York: Summary level: 160, state:36> place:19229",2834
"Haviland CDP, New York: Summary level: 160, state:36> place:32776",3246
"Pawling village, New York: Summary level: 160, state:36> place:56814",2085
"Red Oaks Mill CDP, New York: Summary level: 160, state:36> place:60983",3202
"Hillcrest CDP, New York: Summary level: 160, state:36> place:34693",7418
"Mount Ivy CDP, New York: Summary level: 160, state:36> place:48879",6925
"Preston-Potter Hollow CDP, New York: Summary level: 160, state:36> place:59831",289
"Shortsville village, New York: Summary level: 160, state:36> place:67257",1275
"Gorham CDP, New York: Summary level: 160, state:36> place:29520",687
"Groveland Station CDP, New York: Summary level: 160, state:36> place:31022",260
"Guilford CDP, New York: Summary level: 160, state:36> place:31137",283
"Hailesboro CDP, New York: Summary level: 160, state:36> place:31346",767
"Hadley CDP, New York: Summary level: 160, state:36> place:31258",868
"Tillson CDP, New York: Summary level: 160, state:36> place:73902",1653
"Saranac Lake village, New York: Summary level: 160, state:36> place:65233",5552
"Albion village, New York: Summary level: 160, state:36> place:01033",5439
"Medina village, New York: Summary level: 160, state:36> place:46415",5839
"Baywood CDP, New York: Summary level: 160, state:36> place:05039",7389
"Brightwaters village, New York: Summary level: 160, state:36> place:08323",3069
"Brookhaven CDP, New York: Summary level: 160, state:36> place:09000",3531
"East Patchogue CDP, New York: Summary level: 160, state:36> place:22733",22637
"Ames village, New York: Summary level: 160, state:36> place:01737",132
"Fultonville village, New York: Summary level: 160, state:36> place:27859",595
"Duanesburg CDP, New York: Summary level: 160, state:36> place:20995",435
"Fair Haven village, New York: Summary level: 160, state:36> place:24988",882
"Morrisonville CDP, New York: Summary level: 160, state:36> place:48538",1386
"Rouses Point village, New York: Summary level: 160, state:36> place:63979",2185
"Cohoes city, New York: Summary level: 160, state:36> place:16749",16599
"Plainview CDP, New York: Summary level: 160, state:36> place:58442",25902
"Port Washington North village, New York: Summary level: 160, state:36> place:59531",3209
"Roslyn Harbor village, New York: Summary level: 160, state:36> place:63803",936
"Searingtown CDP, New York: Summary level: 160, state:36> place:66102",4547
"Thomaston village, New York: Summary level: 160, state:36> place:73605",2624
"Clayville village, New York: Summary level: 160, state:36> place:16111",247
"New Hartford village, New York: Summary level: 160, state:36> place:50298",1731
"Vernon village, New York: Summary level: 160, state:36> place:77112",1138
"Whitesboro village, New York: Summary level: 160, state:36> place:81710",3665
"Fairmount CDP, New York: Summary level: 160, state:36> place:25043",9997
"Village Green CDP, New York: Summary level: 160, state:36> place:77513",3810
"Bay Park CDP, New York: Summary level: 160, state:36> place:04891",1614
"McGraw village, New York: Summary level: 160, state:36> place:44193",879
"Munsons Corners CDP, New York: Summary level: 160, state:36> place:49242",2998
"Barnum Island CDP, New York: Summary level: 160, state:36> place:04550",2247
"Bellerose village, New York: Summary level: 160, state:36> place:05639",1178
"Bellmore CDP, New York: Summary level: 160, state:36> place:05738",15730
"East Rockaway village, New York: Summary level: 160, state:36> place:22876",9802
"Garden City Park CDP, New York: Summary level: 160, state:36> place:28189",8081
"Harbor Isle CDP, New York: Summary level: 160, state:36> place:32105",1163
"Hicksville CDP, New York: Summary level: 160, state:36> place:34374",42649
"Lattingtown village, New York: Summary level: 160, state:36> place:41432",1827
"Levittown CDP, New York: Summary level: 160, state:36> place:42081",51539
"Locust Valley CDP, New York: Summary level: 160, state:36> place:43192",3173
"Lynbrook village, New York: Summary level: 160, state:36> place:43874",19552
"Manhasset CDP, New York: Summary level: 160, state:36> place:44897",8138
"North Valley Stream CDP, New York: Summary level: 160, state:36> place:53748",19202
"Old Brookville village, New York: Summary level: 160, state:36> place:54562",1695
"Oyster Bay CDP, New York: Summary level: 160, state:36> place:55992",6176
"Oswego city, New York: Summary level: 160, state:36> place:55574",17588
"Parish village, New York: Summary level: 160, state:36> place:56341",498
"Pulaski village, New York: Summary level: 160, state:36> place:59960",2093
"Redwood CDP, New York: Summary level: 160, state:36> place:61016",624
"Sackets Harbor village, New York: Summary level: 160, state:36> place:64408",1654
"Cheektowaga CDP, New York: Summary level: 160, state:36> place:15000",74026
"Nelsonville village, New York: Summary level: 160, state:36> place:49781",699
"Rye Brook village, New York: Summary level: 160, state:36> place:64325",9459
"Tuckahoe village, New York: Summary level: 160, state:36> place:75583",6587
"Elma Center CDP, New York: Summary level: 160, state:36> place:24141",3043
"Middleport village, New York: Summary level: 160, state:36> place:46998",1783
"Avoca village, New York: Summary level: 160, state:36> place:03331",960
"Montauk CDP, New York: Summary level: 160, state:36> place:48054",3655
"Bloomingburg village, New York: Summary level: 160, state:36> place:06959",392
"Rock Hill CDP, New York: Summary level: 160, state:36> place:63132",1417
"South Fallsburg CDP, New York: Summary level: 160, state:36> place:68968",2538
"Champlain village, New York: Summary level: 160, state:36> place:13739",1018
"Dannemora village, New York: Summary level: 160, state:36> place:19642",3947
"Rushville village, New York: Summary level: 160, state:36> place:64199",654
"Newfane CDP, New York: Summary level: 160, state:36> place:50221",3764
"Olcott CDP, New York: Summary level: 160, state:36> place:54540",1132
"Elmont CDP, New York: Summary level: 160, state:36> place:24273",36028
"Greenport West CDP, New York: Summary level: 160, state:36> place:30581",2245
"Yorktown Heights CDP, New York: Summary level: 160, state:36> place:84088",1390
"Fort Montgomery CDP, New York: Summary level: 160, state:36> place:26902",1586
"Pine Bush CDP, New York: Summary level: 160, state:36> place:57980",1462
"Walton Park CDP, New York: Summary level: 160, state:36> place:78063",2707
"Salisbury CDP, New York: Summary level: 160, state:36> place:64842",11753
"South Farmingdale CDP, New York: Summary level: 160, state:36> place:69001",14953
"Bridgeport CDP, New York: Summary level: 160, state:36> place:08147",1568
"North Syracuse village, New York: Summary level: 160, state:36> place:53660",6740
"Arkport village, New York: Summary level: 160, state:36> place:02583",853
"Savona village, New York: Summary level: 160, state:36> place:65354",840
"South Hill CDP, New York: Summary level: 160, state:36> place:69199",6468
"Hagaman village, New York: Summary level: 160, state:36> place:31291",1495
"Morrisville village, New York: Summary level: 160, state:36> place:48593",1939
"Andover village, New York: Summary level: 160, state:36> place:02143",818
"Norwich city, New York: Summary level: 160, state:36> place:53979",6813
"Lyons CDP, New York: Summary level: 160, state:36> place:43962",3414
"Gang Mills CDP, New York: Summary level: 160, state:36> place:28145",4495
"Oakdale CDP, New York: Summary level: 160, state:36> place:54144",7231
"Orient CDP, New York: Summary level: 160, state:36> place:55321",782
"Quogue village, New York: Summary level: 160, state:36> place:60422",803
"Ridge CDP, New York: Summary level: 160, state:36> place:61665",13511
"Ronkonkoma CDP, New York: Summary level: 160, state:36> place:63473",18302
"Bedford CDP, New York: Summary level: 160, state:36> place:05309",2074
"Spencer village, New York: Summary level: 160, state:36> place:70167",782
"Catskill village, New York: Summary level: 160, state:36> place:13002",3861
"Greenville CDP (Greene County), New York: Summary level: 160, state:36> place:30609",597
"Harrison village, New York: Summary level: 160, state:36> place:32402",27956
"Jefferson Valley-Yorktown CDP, New York: Summary level: 160, state:36> place:38500",14441
"Lake Mohegan CDP, New York: Summary level: 160, state:36> place:40689",6013
"Milton CDP (Ulster County), New York: Summary level: 160, state:36> place:47554",1371
"Greenwich village, New York: Summary level: 160, state:36> place:30675",1962
"Holley village, New York: Summary level: 160, state:36> place:35155",1743
"Bohemia CDP, New York: Summary level: 160, state:36> place:07157",9293
"Medford CDP, New York: Summary level: 160, state:36> place:46404",24247
"Town Line CDP, New York: Summary level: 160, state:36> place:75121",1764
"Cornwall-on-Hudson village, New York: Summary level: 160, state:36> place:18333",2927
"Woodbury village, New York: Summary level: 160, state:36> place:82750",10735
"Sagaponack village, New York: Summary level: 160, state:36> place:64452",260
"Westport CDP, New York: Summary level: 160, state:36> place:80764",404
"Ticonderoga CDP, New York: Summary level: 160, state:36> place:73880",3120
"Schenevus CDP, New York: Summary level: 160, state:36> place:65519",485
"Fillmore CDP, New York: Summary level: 160, state:36> place:25747",497
"South Blooming Grove village, New York: Summary level: 160, state:36> place:68610",3145
"Andes CDP, New York: Summary level: 160, state:36> place:02121",243
"Bloomville CDP, New York: Summary level: 160, state:36> place:07025",160
"Lido Beach CDP, New York: Summary level: 160, state:36> place:42279",3009
"Matinecock village, New York: Summary level: 160, state:36> place:46107",897
"Mill Neck village, New York: Summary level: 160, state:36> place:47405",1011
"Munsey Park village, New York: Summary level: 160, state:36> place:49231",2719
"North Merrick CDP, New York: Summary level: 160, state:36> place:53264",12232
"East Nassau village, New York: Summary level: 160, state:36> place:22557",602
"Menands village, New York: Summary level: 160, state:36> place:46536",3946
"Ravena village, New York: Summary level: 160, state:36> place:60675",3228
"Hamburg village, New York: Summary level: 160, state:36> place:31643",9618
"Harris Hill CDP, New York: Summary level: 160, state:36> place:32391",5737
"Lake Erie Beach CDP, New York: Summary level: 160, state:36> place:40486",3740
"Lancaster village, New York: Summary level: 160, state:36> place:41135",10152
"Cayuga Heights village, New York: Summary level: 160, state:36> place:13079",3722
