,Total,"Less than $10,000:","Less than $10,000:!!With a broadband Internet subscription","$10,000 to $19,999:","$10,000 to $19,999:!!With a broadband Internet subscription","$20,000 to $34,999:","$20,000 to $34,999:!!With a broadband Internet subscription","$35,000 to $49,999:","$35,000 to $49,999:!!With a broadband Internet subscription","$50,000 to $74,999:","$50,000 to $74,999:!!With a broadband Internet subscription","$75,000 or more:","$75,000 or more:!!With a broadband Internet subscription"
"Amityville village, New York: Summary level: 160, state:36> place:02044",3421,64,52,274,173,363,236,207,158,413,360,2100,2004
"Babylon village, New York: Summary level: 160, state:36> place:03408",4324,74,41,191,99,320,190,279,222,517,469,2943,2874
"Central Islip CDP, New York: Summary level: 160, state:36> place:13552",9183,409,130,771,413,1102,750,1154,883,1604,1345,4143,3782
"Copiague CDP, New York: Summary level: 160, state:36> place:18146",7016,196,133,428,250,839,697,616,485,1226,1061,3711,3502
"Coram CDP, New York: Summary level: 160, state:36> place:18157",14685,399,220,893,622,1392,1046,1341,1196,2485,2116,8175,7741
"East Islip CDP, New York: Summary level: 160, state:36> place:22315",4323,87,61,168,109,196,124,276,244,473,462,3123,3015
"East Northport CDP, New York: Summary level: 160, state:36> place:22612",6983,134,117,450,317,519,363,555,507,730,661,4595,4416
"East Quogue CDP, New York: Summary level: 160, state:36> place:22832",1895,58,38,45,19,156,115,161,143,394,257,1081,909
"Hartsdale CDP, New York: Summary level: 160, state:36> place:32523",2408,120,87,141,130,104,46,188,151,421,421,1434,1402
"Amagansett CDP, New York: Summary level: 160, state:36> place:01594",358,8,8,24,7,40,26,28,13,47,38,211,124
"Bayport CDP, New York: Summary level: 160, state:36> place:04913",3205,160,125,105,58,319,217,286,277,302,270,2033,1933
"Centereach CDP, New York: Summary level: 160, state:36> place:13376",9682,256,182,386,242,703,567,788,620,1179,1113,6370,6072
"Cold Spring Harbor CDP, New York: Summary level: 160, state:36> place:16958",1714,28,21,28,0,70,60,55,45,114,114,1419,1390
"Elwood CDP, New York: Summary level: 160, state:36> place:24405",3566,83,74,143,101,259,212,261,218,315,246,2505,2431
"Candor village, New York: Summary level: 160, state:36> place:12210",274,13,10,39,29,57,46,25,16,64,56,76,75
"Crugers CDP, New York: Summary level: 160, state:36> place:19290",789,94,21,93,85,185,76,75,24,155,98,187,135
"Golden's Bridge CDP, New York: Summary level: 160, state:36> place:29476",696,13,13,17,17,17,17,28,28,119,107,502,502
"Hawthorne CDP, New York: Summary level: 160, state:36> place:32842",1618,34,26,67,41,194,116,97,74,196,177,1030,980
"East Shoreham CDP, New York: Summary level: 160, state:36> place:22980",1984,10,0,63,55,102,93,54,38,134,118,1621,1583
"Halesite CDP, New York: Summary level: 160, state:36> place:31445",998,18,9,9,9,19,19,53,53,114,114,785,776
"Hampton Bays CDP, New York: Summary level: 160, state:36> place:31896",5502,241,166,484,225,643,368,582,364,748,482,2804,2264
"Holtsville CDP, New York: Summary level: 160, state:36> place:35254",6554,245,116,337,173,362,304,448,395,913,864,4249,3932
"Kings Park CDP, New York: Summary level: 160, state:36> place:39672",6071,179,179,310,99,532,348,531,470,655,567,3864,3633
"New Hempstead village, New York: Summary level: 160, state:36> place:50353",1295,17,10,11,0,16,16,104,57,131,131,1016,821
"Seneca Falls CDP, New York: Summary level: 160, state:36> place:66322",2664,189,141,342,245,553,423,230,218,525,483,825,800
"East Randolph CDP, New York: Summary level: 160, state:36> place:22843",189,9,6,48,3,49,20,33,33,18,18,32,32
"Perrysburg CDP, New York: Summary level: 160, state:36> place:57287",133,14,0,3,0,24,0,24,8,29,16,39,39
"Copake Falls CDP, New York: Summary level: 160, state:36> place:18113",155,0,0,22,0,25,0,42,42,0,0,66,41
"Pierrepont Manor CDP, New York: Summary level: 160, state:36> place:57782",52,0,0,0,0,5,5,23,0,24,24,0,0
"Piffard CDP, New York: Summary level: 160, state:36> place:57804",131,0,0,31,31,10,0,36,28,25,25,29,29
"Pike CDP, New York: Summary level: 160, state:36> place:57815",110,4,4,7,0,46,33,22,17,15,10,16,14
"Pine Valley CDP, New York: Summary level: 160, state:36> place:58189",306,58,58,0,0,16,4,81,75,61,61,90,79
"Plessis CDP, New York: Summary level: 160, state:36> place:58739",43,0,0,0,0,0,0,0,0,16,16,27,27
"York Hamlet CDP, New York: Summary level: 160, state:36> place:84035",210,6,0,9,9,42,42,21,21,55,46,77,77
"Watchtower CDP, New York: Summary level: 160, state:36> place:78487",0,0,0,0,0,0,0,0,0,0,0,0,0
"Water Mill CDP, New York: Summary level: 160, state:36> place:78575",759,18,18,46,18,38,31,21,12,107,99,529,468
"Brasher Falls CDP, New York: Summary level: 160, state:36> place:07960",308,8,8,16,5,51,42,39,24,135,135,59,41
"Campbell CDP, New York: Summary level: 160, state:36> place:11935",305,26,15,51,39,98,56,0,0,17,17,113,103
"Caroga Lake CDP, New York: Summary level: 160, state:36> place:12584",268,6,0,28,10,67,42,48,48,24,14,95,71
"Central Bridge CDP, New York: Summary level: 160, state:36> place:13530",108,14,14,0,0,46,10,10,10,38,38,0,0
"Chautauqua CDP, New York: Summary level: 160, state:36> place:14058",68,0,0,0,0,0,0,10,10,0,0,58,58
"Chadwicks CDP, New York: Summary level: 160, state:36> place:13662",582,0,0,50,37,130,112,92,92,124,124,186,186
"Chenango Bridge CDP, New York: Summary level: 160, state:36> place:15121",1097,61,9,52,20,98,90,118,109,282,274,486,441
"Clarkson CDP, New York: Summary level: 160, state:36> place:15946",1740,91,48,151,85,221,157,110,110,370,370,797,760
"Chazy CDP, New York: Summary level: 160, state:36> place:14102",191,7,7,9,9,9,9,58,58,0,0,108,108
"Chestertown CDP, New York: Summary level: 160, state:36> place:15363",263,9,9,0,0,72,0,72,46,75,75,35,21
"Clarence CDP, New York: Summary level: 160, state:36> place:15814",1054,14,0,139,54,185,100,59,30,189,172,468,468
"Colton CDP, New York: Summary level: 160, state:36> place:17398",157,16,6,35,15,9,9,7,7,28,25,62,62
"Conesus Hamlet CDP, New York: Summary level: 160, state:36> place:17620",159,0,0,26,10,11,11,6,6,64,64,52,52
"Coopers Plains CDP, New York: Summary level: 160, state:36> place:18036",204,14,0,0,0,39,15,47,34,75,62,29,29
"Conesus Lake CDP, New York: Summary level: 160, state:36> place:17622",1232,42,38,21,18,179,137,126,115,195,152,669,597
"Cranberry Lake CDP, New York: Summary level: 160, state:36> place:18817",83,6,6,7,4,10,6,12,12,15,15,33,30
"Cumminsville CDP, New York: Summary level: 160, state:36> place:19411",107,0,0,47,38,36,19,15,15,9,9,0,0
"Cuylerville CDP, New York: Summary level: 160, state:36> place:19510",136,45,0,0,0,10,5,6,6,37,32,38,38
"Crystal Beach CDP, New York: Summary level: 160, state:36> place:19308",400,46,12,27,0,68,47,87,87,50,41,122,122
"Dalton CDP, New York: Summary level: 160, state:36> place:19587",130,10,10,12,0,3,3,2,0,27,25,76,67
"Davenport Center CDP, New York: Summary level: 160, state:36> place:19774",94,9,9,6,0,12,12,20,0,11,0,36,8
"DeKalb Junction CDP, New York: Summary level: 160, state:36> place:20049",209,6,6,21,0,50,29,34,16,33,33,65,59
"Downsville CDP, New York: Summary level: 160, state:36> place:20852",217,10,10,48,28,36,19,37,33,53,39,33,33
"Durhamville CDP, New York: Summary level: 160, state:36> place:21226",266,42,42,15,0,14,14,19,19,89,71,87,87
"East Avon CDP, New York: Summary level: 160, state:36> place:21600",350,21,21,99,42,59,59,88,52,28,28,55,55
"Edmeston CDP, New York: Summary level: 160, state:36> place:23602",267,7,7,12,6,40,27,35,31,77,77,96,86
"Eggertsville CDP, New York: Summary level: 160, state:36> place:23701",6447,522,316,452,278,757,562,589,482,1181,1110,2946,2760
"Elizabethtown CDP, New York: Summary level: 160, state:36> place:23822",262,12,10,30,11,55,30,36,33,43,43,86,69
"Erin CDP, New York: Summary level: 160, state:36> place:24625",164,7,7,15,12,38,26,40,24,29,18,35,35
"Felts Mills CDP, New York: Summary level: 160, state:36> place:25571",167,0,0,7,7,17,17,93,42,50,50,0,0
"Fort Covington Hamlet CDP, New York: Summary level: 160, state:36> place:26752",502,24,16,46,23,80,42,131,121,90,71,131,118
"Fowlerville CDP, New York: Summary level: 160, state:36> place:27133",58,24,0,7,0,0,0,0,0,0,0,27,27
"Freedom Plains CDP, New York: Summary level: 160, state:36> place:27452",166,5,5,11,0,19,13,26,16,14,10,91,91
"Fishers Landing CDP, New York: Summary level: 160, state:36> place:25934",32,0,0,0,0,15,5,4,4,8,8,5,0
"Gates CDP, New York: Summary level: 160, state:36> place:28453",2079,29,29,200,115,209,143,346,255,594,585,701,693
"Gilgo CDP, New York: Summary level: 160, state:36> place:28990",72,0,0,0,0,24,24,0,0,0,0,48,24
"Worcester CDP, New York: Summary level: 160, state:36> place:83118",364,16,7,34,20,71,53,93,74,46,46,104,93
"Glen Aubrey CDP, New York: Summary level: 160, state:36> place:29058",115,12,12,0,0,12,9,18,14,32,32,41,28
"Grandyle Village CDP, New York: Summary level: 160, state:36> place:29894",1966,55,28,46,31,193,135,322,293,406,406,944,928
"Greigsville CDP, New York: Summary level: 160, state:36> place:30807",113,0,0,0,0,42,42,8,0,10,10,53,53
"Belle Terre village, New York: Summary level: 160, state:36> place:05672",250,6,6,3,3,0,0,12,12,17,17,212,203
"Bellport village, New York: Summary level: 160, state:36> place:05771",823,33,33,25,25,66,62,60,46,122,101,517,505
"Center Moriches CDP, New York: Summary level: 160, state:36> place:13420",2753,66,66,64,64,252,209,163,140,428,359,1780,1698
"Deer Park CDP, New York: Summary level: 160, state:36> place:19972",8594,404,264,413,233,690,509,651,469,1242,1126,5194,4919
"Springs CDP, New York: Summary level: 160, state:36> place:70387",2679,14,14,200,64,275,275,201,177,286,212,1703,1341
"Terryville CDP, New York: Summary level: 160, state:36> place:73352",3742,98,89,164,120,303,230,309,233,531,496,2337,2261
"Walton village, New York: Summary level: 160, state:36> place:78036",1258,70,41,223,185,310,149,122,106,274,212,259,248
"Albany city, New York: Summary level: 160, state:36> place:01000",41207,4298,2859,5816,3309,6696,4699,5306,4460,6752,5569,12339,11433
"Hoosick Falls village, New York: Summary level: 160, state:36> place:35474",1425,33,0,105,80,280,207,238,112,347,312,422,395
"New York city, New York: Summary level: 160, state:36> place:51000",3154103,277465,155346,350614,188874,402679,279125,332258,258629,462374,390718,1328713,1232519
"Bloomfield village, New York: Summary level: 160, state:36> place:06945",603,40,18,62,35,88,43,78,69,91,73,244,236
"Phelps village, New York: Summary level: 160, state:36> place:57518",764,10,0,68,21,166,112,124,102,114,104,282,265
"Falconer village, New York: Summary level: 160, state:36> place:25164",1097,50,25,185,65,205,112,193,179,246,205,218,213
"Jamestown city, New York: Summary level: 160, state:36> place:38264",12652,1595,799,2665,1481,2502,1675,1699,1327,2031,1719,2160,2010
"Silver Creek village, New York: Summary level: 160, state:36> place:67411",970,55,33,110,64,146,92,86,73,235,173,338,332
"Turin village, New York: Summary level: 160, state:36> place:75682",87,0,0,9,9,11,11,18,14,8,8,41,39
"Woodmere CDP, New York: Summary level: 160, state:36> place:82942",5140,66,21,138,86,361,298,348,228,676,595,3551,3364
"Plandome Manor village, New York: Summary level: 160, state:36> place:58497",259,9,9,2,0,2,0,2,2,19,19,225,216
"South Floral Park village, New York: Summary level: 160, state:36> place:69023",562,3,3,15,13,29,14,70,58,74,60,371,350
"Westbury village, New York: Summary level: 160, state:36> place:79444",4918,176,84,317,252,327,152,390,284,596,531,3112,2948
"Woodsburgh village, New York: Summary level: 160, state:36> place:82986",268,7,3,8,8,24,24,4,4,7,5,218,208
"Clark Mills CDP, New York: Summary level: 160, state:36> place:15902",798,17,9,89,43,92,33,96,96,321,285,183,173
"Holland Patent village, New York: Summary level: 160, state:36> place:35144",166,9,0,5,0,29,20,21,21,23,18,79,78
"Oriskany Falls village, New York: Summary level: 160, state:36> place:55376",325,35,13,53,21,53,22,32,14,94,89,58,54
"Mechanicstown CDP, New York: Summary level: 160, state:36> place:46349",2941,260,132,435,159,310,175,368,288,556,444,1012,732
"Tuxedo Park village, New York: Summary level: 160, state:36> place:75803",233,4,4,5,5,20,3,20,20,14,14,170,167
"Washingtonville village, New York: Summary level: 160, state:36> place:78465",2122,112,62,183,108,179,95,135,121,288,178,1225,1100
"Phoenix village, New York: Summary level: 160, state:36> place:57661",1086,141,98,158,109,174,116,172,127,201,192,240,240
"Sandy Creek village, New York: Summary level: 160, state:36> place:65068",302,16,6,39,33,37,25,25,21,78,60,107,107
"Balmville CDP, New York: Summary level: 160, state:36> place:04286",1178,58,22,99,32,116,84,117,107,210,129,578,527
"Florida village, New York: Summary level: 160, state:36> place:26319",1008,16,11,49,11,59,23,57,42,202,175,625,608
"Greenwood Lake village, New York: Summary level: 160, state:36> place:30752",1218,59,20,136,87,44,44,133,26,115,115,731,626
"Middletown city, New York: Summary level: 160, state:36> place:47042",10331,851,216,1148,300,1409,711,1327,844,2043,1130,3553,2578
"New Windsor CDP, New York: Summary level: 160, state:36> place:50837",3506,149,101,260,157,410,193,408,377,607,497,1672,1604
"Walden village, New York: Summary level: 160, state:36> place:77849",2210,149,101,82,37,185,153,161,128,594,474,1039,877
"West Point CDP, New York: Summary level: 160, state:36> place:80747",882,8,8,0,0,24,24,25,25,80,80,745,745
"Chester village, New York: Summary level: 160, state:36> place:15297",1418,72,55,132,89,190,118,185,157,155,142,684,657
"Fishkill village, New York: Summary level: 160, state:36> place:25967",980,43,32,97,53,143,104,59,48,135,124,503,478
"Myers Corner CDP, New York: Summary level: 160, state:36> place:49363",2359,31,26,74,74,100,74,137,106,360,327,1657,1592
"Pine Plains CDP, New York: Summary level: 160, state:36> place:58145",551,30,30,50,32,98,55,70,44,90,84,213,207
"Arlington CDP, New York: Summary level: 160, state:36> place:02616",1090,135,76,154,90,153,107,198,158,152,119,298,286
"Philmont village, New York: Summary level: 160, state:36> place:57639",568,95,25,87,55,61,46,88,42,127,101,110,110
"Brighton CDP, New York: Summary level: 160, state:36> place:08257",15441,936,675,965,688,1643,1052,1747,1459,2360,1983,7790,7355
"Rochester city, New York: Summary level: 160, state:36> place:63000",86057,11778,6630,15589,8844,17255,11429,11852,9159,13418,11646,16165,14862
"Stony Point CDP, New York: Summary level: 160, state:36> place:71663",4376,111,52,181,106,381,285,478,358,512,430,2713,2632
"Sidney village, New York: Summary level: 160, state:36> place:67334",1729,159,148,247,109,424,192,202,167,242,157,455,420
"Upper Nyack village, New York: Summary level: 160, state:36> place:76386",784,7,7,17,14,79,34,44,34,105,99,532,515
"Elba village, New York: Summary level: 160, state:36> place:23745",235,4,2,8,8,44,34,27,23,52,40,100,98
"Hudson city, New York: Summary level: 160, state:36> place:35969",2694,305,170,413,114,621,413,351,224,373,338,631,499
"Stottville CDP, New York: Summary level: 160, state:36> place:71718",556,18,0,42,12,94,34,133,90,135,98,134,104
"Brockport village, New York: Summary level: 160, state:36> place:08466",2260,253,196,421,270,400,333,372,279,311,282,503,482
"Honeoye Falls village, New York: Summary level: 160, state:36> place:35364",1203,47,31,112,63,161,136,178,162,178,158,527,476
"Village of the Branch village, New York: Summary level: 160, state:36> place:77519",591,2,0,35,18,22,4,56,35,37,31,439,433
"Delevan village, New York: Summary level: 160, state:36> place:20115",403,54,22,68,27,48,34,65,37,75,69,93,88
"St. Bonaventure CDP, New York: Summary level: 160, state:36> place:64551",295,40,7,65,0,45,29,49,40,15,0,81,81
"Gloversville city, New York: Summary level: 160, state:36> place:29443",6159,525,280,1029,561,1396,949,848,583,1092,805,1269,1206
"Mayfield village, New York: Summary level: 160, state:36> place:46206",321,15,2,29,28,42,28,27,25,92,87,116,104
"Sand Ridge CDP, New York: Summary level: 160, state:36> place:65024",242,18,0,0,0,67,51,17,17,67,51,73,55
"Vails Gate CDP, New York: Summary level: 160, state:36> place:76584",1385,47,31,105,16,388,260,204,168,196,181,445,359
"Warwick village, New York: Summary level: 160, state:36> place:78355",2912,44,13,263,131,379,182,366,200,372,363,1488,1374
"Niverville CDP, New York: Summary level: 160, state:36> place:51297",465,23,23,50,0,31,31,0,0,86,86,275,275
"Irondequoit CDP, New York: Summary level: 160, state:36> place:37737",22085,916,419,1762,923,3094,1798,3315,2531,4503,3790,8495,8105
"Scottsville village, New York: Summary level: 160, state:36> place:65959",803,48,44,31,17,138,98,82,64,181,160,323,310
"Blauvelt CDP, New York: Summary level: 160, state:36> place:06860",1617,27,27,16,16,52,29,65,44,126,112,1331,1231
"Chestnut Ridge village, New York: Summary level: 160, state:36> place:15400",2432,55,31,107,12,197,80,194,109,345,259,1534,1408
"Haverstraw village, New York: Summary level: 160, state:36> place:32754",3641,188,51,392,134,517,328,444,386,584,471,1516,1427
"Kaser village, New York: Summary level: 160, state:36> place:38934",926,79,5,382,0,228,5,61,18,114,25,62,20
"Montebello village, New York: Summary level: 160, state:36> place:48090",1673,25,10,0,0,68,57,180,151,226,190,1174,1142
"New City CDP, New York: Summary level: 160, state:36> place:50100",11451,258,153,331,225,667,536,545,424,1246,1032,8404,8101
"Pomona village, New York: Summary level: 160, state:36> place:58992",991,40,40,13,8,60,44,90,73,156,136,632,632
"Heuvelton village, New York: Summary level: 160, state:36> place:34264",319,29,13,21,5,34,30,72,63,61,50,102,97
"Dolgeville village, New York: Summary level: 160, state:36> place:20731",1006,40,15,122,64,198,165,182,143,226,151,238,227
"Herkimer village, New York: Summary level: 160, state:36> place:34121",2894,291,106,457,249,444,311,580,468,607,587,515,476
"Middleville village, New York: Summary level: 160, state:36> place:47108",225,3,0,64,43,26,18,9,1,25,23,98,80
"Beacon city, New York: Summary level: 160, state:36> place:05100",5178,221,120,508,309,643,402,485,292,743,650,2578,2378
"Victor village, New York: Summary level: 160, state:36> place:77376",1122,22,22,93,59,161,87,94,71,155,132,597,582
"Schaghticoke village, New York: Summary level: 160, state:36> place:65475",273,28,3,17,7,31,13,47,45,50,37,100,91
"Wynantskill CDP, New York: Summary level: 160, state:36> place:83349",1358,20,0,80,29,138,120,233,233,315,274,572,572
"Union Springs village, New York: Summary level: 160, state:36> place:76155",439,14,14,47,19,43,20,76,54,70,59,189,180
"Colonie village, New York: Summary level: 160, state:36> place:17332",3013,70,47,124,54,315,253,313,226,513,400,1678,1628
"Weston Mills CDP, New York: Summary level: 160, state:36> place:80632",613,22,11,58,15,141,76,60,9,132,127,200,200
"Clayton village, New York: Summary level: 160, state:36> place:16089",884,59,48,82,27,154,97,66,62,179,144,344,338
"Deferiet village, New York: Summary level: 160, state:36> place:19994",120,15,12,11,5,16,13,15,15,25,24,38,38
"Depauville CDP, New York: Summary level: 160, state:36> place:20302",162,34,34,0,0,17,0,0,0,22,16,89,81
"Evans Mills village, New York: Summary level: 160, state:36> place:24823",218,16,1,23,22,37,14,34,20,28,27,80,79
"Port Ewen CDP, New York: Summary level: 160, state:36> place:59311",1449,46,33,66,22,223,148,233,213,269,251,612,589
"Saugerties South CDP, New York: Summary level: 160, state:36> place:65310",756,27,27,88,56,92,70,53,46,137,125,359,352
"Stone Ridge CDP, New York: Summary level: 160, state:36> place:71597",428,38,38,23,23,30,18,68,68,65,65,204,204
"Wallkill CDP, New York: Summary level: 160, state:36> place:78003",773,30,20,48,27,75,14,104,100,149,149,367,355
"West Hurley CDP, New York: Summary level: 160, state:36> place:80291",894,36,26,162,140,64,58,88,65,96,67,448,422
"Woodstock CDP, New York: Summary level: 160, state:36> place:83041",1096,32,23,226,159,203,158,127,105,170,123,338,294
"Cambridge village, New York: Summary level: 160, state:36> place:11825",824,50,33,143,66,93,63,153,136,175,175,210,202
"Hudson Falls village, New York: Summary level: 160, state:36> place:35980",2901,222,162,316,264,597,531,503,403,583,544,680,630
"Waterford village, New York: Summary level: 160, state:36> place:78520",958,67,14,65,29,178,127,160,112,211,196,277,267
"Lake George village, New York: Summary level: 160, state:36> place:40508",494,33,27,47,29,82,73,90,83,88,60,154,129
"Chateaugay village, New York: Summary level: 160, state:36> place:13981",313,38,15,45,20,63,34,37,37,37,35,93,77
"Malone village, New York: Summary level: 160, state:36> place:44710",2501,328,199,438,232,402,323,386,252,394,372,553,504
"Aquebogue CDP, New York: Summary level: 160, state:36> place:02374",792,60,60,0,0,35,20,38,38,231,231,428,428
"Bridgehampton CDP, New York: Summary level: 160, state:36> place:08136",534,11,0,26,6,37,19,46,11,109,30,305,127
"Little Valley village, New York: Summary level: 160, state:36> place:42829",445,24,4,84,55,100,61,76,57,101,74,60,55
"Centerport CDP, New York: Summary level: 160, state:36> place:13442",1938,34,34,71,28,118,96,96,77,162,148,1457,1422
"Dix Hills CDP, New York: Summary level: 160, state:36> place:20687",8269,131,83,148,101,371,343,404,349,782,741,6433,6269
"West Babylon CDP, New York: Summary level: 160, state:36> place:79246",13351,343,263,487,191,1139,816,1076,917,2060,1867,8246,7682
"Brownville village, New York: Summary level: 160, state:36> place:10231",407,0,0,42,4,66,34,95,84,32,26,172,168
"North Lindenhurst CDP, New York: Summary level: 160, state:36> place:53198",3581,85,43,288,164,360,326,486,387,621,561,1741,1662
"Riverhead CDP, New York: Summary level: 160, state:36> place:61973",5373,355,100,572,273,817,418,791,469,820,626,2018,1831
"South Huntington CDP, New York: Summary level: 160, state:36> place:69254",3302,143,132,146,136,169,111,258,193,362,331,2224,2140
"Shinnecock Hills CDP, New York: Summary level: 160, state:36> place:67048",1017,30,0,77,46,145,114,102,89,30,30,633,506
"Flanders CDP, New York: Summary level: 160, state:36> place:26121",1354,18,18,22,22,118,118,196,92,198,178,802,620
"Fort Edward village, New York: Summary level: 160, state:36> place:26770",1381,78,64,192,144,337,169,155,148,318,285,301,301
"Stillwater village, New York: Summary level: 160, state:36> place:71322",735,32,17,39,29,40,19,86,64,136,123,402,368
"West Glens Falls CDP, New York: Summary level: 160, state:36> place:80082",2714,100,38,178,161,196,113,424,383,691,636,1125,1125
"Great River CDP, New York: Summary level: 160, state:36> place:30235",425,40,0,13,8,0,0,9,9,45,38,318,318
"Hauppauge CDP, New York: Summary level: 160, state:36> place:32732",6795,159,159,205,151,499,372,632,498,697,614,4603,4360
"Lindenhurst village, New York: Summary level: 160, state:36> place:42554",8839,189,128,571,318,780,604,807,727,1175,1072,5317,4999
"Oakfield village, New York: Summary level: 160, state:36> place:54155",632,19,13,46,21,124,63,100,82,154,139,189,179
"Briarcliff Manor village, New York: Summary level: 160, state:36> place:08103",2661,66,39,60,34,129,46,109,100,231,231,2066,1947
"Bronxville village, New York: Summary level: 160, state:36> place:08532",2190,34,25,110,67,140,123,48,48,177,159,1681,1605
"Centre Island village, New York: Summary level: 160, state:36> place:13618",184,16,16,7,7,1,1,15,15,13,13,132,125
"Chittenango village, New York: Summary level: 160, state:36> place:15561",1732,57,34,149,61,181,157,155,102,303,290,887,880
"Larchmont village, New York: Summary level: 160, state:36> place:41333",2033,35,35,13,13,77,60,16,16,165,95,1727,1712
"Mount Kisco village, New York: Summary level: 160, state:36> place:48890",4036,116,56,287,120,384,249,443,393,671,559,2135,2033
"Pleasantville village, New York: Summary level: 160, state:36> place:58728",2548,58,39,33,14,310,37,279,217,218,202,1650,1633
"Atlantic Beach village, New York: Summary level: 160, state:36> place:02968",601,11,11,9,4,27,16,48,48,103,100,403,392
"Baldwin CDP, New York: Summary level: 160, state:36> place:04143",7894,156,73,303,176,705,381,667,557,925,845,5138,4898
"Cedarhurst village, New York: Summary level: 160, state:36> place:13233",1888,83,55,71,31,103,11,78,78,260,245,1293,1228
"East Massapequa CDP, New York: Summary level: 160, state:36> place:22480",6794,193,115,318,180,595,384,617,455,963,875,4108,3973
"Garden City South CDP, New York: Summary level: 160, state:36> place:28200",1332,44,44,39,16,80,59,67,58,142,122,960,927
"Great Neck village, New York: Summary level: 160, state:36> place:30169",3089,146,105,145,106,309,206,198,184,463,439,1828,1700
"Kings Point village, New York: Summary level: 160, state:36> place:39694",1306,15,8,0,0,30,30,25,25,243,243,993,959
"Peru CDP, New York: Summary level: 160, state:36> place:57364",680,36,13,51,15,81,20,59,34,130,130,323,294
"Plattsburgh city, New York: Summary level: 160, state:36> place:58574",7894,1024,618,705,359,1418,1085,1149,847,1433,1208,2165,2038
"Watervliet city, New York: Summary level: 160, state:36> place:78674",4716,258,164,713,482,959,588,670,477,1016,900,1100,1016
"East Hills village, New York: Summary level: 160, state:36> place:22260",2348,15,8,53,53,60,60,45,45,129,105,2046,1959
"Farmingdale village, New York: Summary level: 160, state:36> place:25384",3704,47,27,350,224,411,289,369,320,449,439,2078,2005
"Glenwood Landing CDP, New York: Summary level: 160, state:36> place:29421",1379,60,47,56,23,26,26,71,71,145,124,1021,995
"Great Neck Gardens CDP, New York: Summary level: 160, state:36> place:30202",301,0,0,0,0,0,0,16,16,0,0,285,285
"Inwood CDP, New York: Summary level: 160, state:36> place:37583",3043,171,47,354,167,384,168,387,247,506,397,1241,1154
"Massapequa Park village, New York: Summary level: 160, state:36> place:45997",5669,81,81,238,118,379,199,393,330,467,421,4111,3979
"North New Hyde Park CDP, New York: Summary level: 160, state:36> place:53275",4790,56,36,125,93,328,236,286,180,399,351,3596,3470
"Old Westbury village, New York: Summary level: 160, state:36> place:54705",1100,12,12,7,0,61,50,20,14,61,54,939,898
"Plandome Heights village, New York: Summary level: 160, state:36> place:58486",329,2,2,2,2,13,9,10,7,32,28,270,259
"South Hempstead CDP, New York: Summary level: 160, state:36> place:69188",1053,26,12,32,26,31,31,43,43,159,159,762,735
"Margaretville village, New York: Summary level: 160, state:36> place:45557",246,23,3,53,15,22,15,48,39,55,49,45,37
"South Valley Stream CDP, New York: Summary level: 160, state:36> place:69892",2029,46,30,41,35,112,86,136,114,151,126,1543,1506
"Upper Brookville village, New York: Summary level: 160, state:36> place:76331",504,0,0,4,4,7,7,75,75,32,25,386,367
"Williston Park village, New York: Summary level: 160, state:36> place:82117",2582,30,11,104,48,228,132,158,97,360,270,1702,1645
"Woodbury CDP, New York: Summary level: 160, state:36> place:82744",2964,89,59,126,78,194,127,195,146,218,174,2142,2016
"New York Mills village, New York: Summary level: 160, state:36> place:51011",1737,106,18,298,243,430,340,333,229,172,152,398,326
"Oriskany village, New York: Summary level: 160, state:36> place:55365",607,49,49,124,42,84,47,83,71,125,102,142,142
"Rome city, New York: Summary level: 160, state:36> place:63418",12622,1044,594,1436,891,2258,1530,1706,1460,2559,2295,3619,3288
"Fayetteville village, New York: Summary level: 160, state:36> place:25527",1727,47,23,112,101,64,42,273,205,271,249,960,939
"Canton village, New York: Summary level: 160, state:36> place:12331",1513,140,87,278,115,101,42,137,116,237,237,620,609
"Bardonia CDP, New York: Summary level: 160, state:36> place:04396",1321,17,0,68,19,107,55,61,48,56,56,1012,981
"Piermont village, New York: Summary level: 160, state:36> place:57749",1184,45,25,44,19,81,81,67,67,177,162,770,744
"Sloatsburg village, New York: Summary level: 160, state:36> place:67708",1087,52,27,54,13,53,39,120,109,117,83,691,678
"Massena village, New York: Summary level: 160, state:36> place:46019",4635,399,275,566,303,943,578,580,480,869,767,1278,1235
"Potsdam village, New York: Summary level: 160, state:36> place:59564",2107,338,246,458,294,305,184,127,116,226,197,653,615
"Unadilla village, New York: Summary level: 160, state:36> place:76001",462,21,21,71,41,66,43,42,35,146,120,116,105
"Highland CDP, New York: Summary level: 160, state:36> place:34484",2101,58,46,292,115,294,237,178,165,345,280,934,916
"Lincoln Park CDP, New York: Summary level: 160, state:36> place:42488",1121,145,117,224,135,234,169,97,76,197,155,224,211
"Marlboro CDP, New York: Summary level: 160, state:36> place:45700",1520,72,8,116,70,201,160,220,138,266,228,645,579
"New Paltz village, New York: Summary level: 160, state:36> place:50551",1935,277,235,215,182,326,259,284,226,292,275,541,541
"Pine Hill CDP, New York: Summary level: 160, state:36> place:58057",91,19,13,18,13,5,5,22,22,22,5,5,5
"Deposit village, New York: Summary level: 160, state:36> place:20346",669,97,67,93,36,137,89,93,78,93,86,156,147
